Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
25,Artur Moraes,br BRA,GK,pt Benfica,33,1981,3,3,200,2.2,2,0.9,9,7,77.8,0,2,1,2,66.7,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Fernando Muslera,uy URU,GK,tr Galatasaray,28,1986,5,5,450,5,15,3,33,18,54.5,0,1,4,0,0,,,,,,Matches
27,Keylor Navas,cr CRC,GK,es Real Madrid,27,1986,2,2,180,2,0,0,6,6,100,2,0,0,2,100,,,,,,Matches
28,Manuel Neuer,de GER,GK,de Bayern Munich,28,1986,12,12,"1,080",12,13,1.08,36,23,63.9,8,1,3,6,50,,,,,,Matches
29,Jan Oblak,si SVN,GK,es Atlético Madrid,21,1993,4,3,367,4.1,4,0.98,23,19,82.6,1,0,2,1,33.3,,,,,,Matches
30,Robin Olsen,se SWE,GK,se Malmö,24,1990,6,6,540,6,15,2.5,49,34,69.4,1,0,5,1,16.7,,,,,,Matches
31,David Ospina,co COL,GK,eng Arsenal,25,1988,3,2,208,2.3,4,1.73,12,8,66.7,1,0,1,1,50,,,,,,Matches
32,Urko Pardo,cy CYP,GK,cy APOEL FC,31,1983,6,6,540,6,12,2,38,26,68.4,0,1,5,0,0,,,,,,Matches
33,Rui Patrício,pt POR,GK,pt Sporting CP,26,1988,6,6,540,6,12,2,27,15,55.6,2,1,3,0,0,,,,,,Matches
34,Silvio Proto,be BEL,GK,be Anderlecht,31,1983,5,5,450,5,9,1.8,31,22,71,1,2,2,1,20,,,,,,Matches
35,Andriy Pyatov,ua UKR,GK,ua Shakhtar Donetsk,30,1984,8,8,720,8,11,1.37,41,30,73.2,2,4,2,4,50,,,,,,Matches
36,Roberto,es ESP,GK,gr Olympiacos,28,1986,6,6,540,6,13,2.17,34,21,61.8,3,0,3,1,16.7,,,,,,Matches
37,Davy Roef,be BEL,GK,be Anderlecht,20,1994,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,,,,,,Matches
38,Salvatore Sirigu,it ITA,GK,fr Paris Saint-Germain,27,1987,10,10,930,10.3,14,1.35,32,18,56.3,4,3,3,2,20,,,,,,Matches
39,Łukasz Skorupski,pl POL,GK,it Roma,23,1991,2,2,180,2,3,1.5,8,5,62.5,0,1,1,0,0,,,,,,Matches
40,Artem Soroko,by BLR,GK,by BATE Borisov,22,1992,1,1,90,1,3,3,8,5,62.5,0,0,1,0,0,,,,,,Matches
41,Vladislav Stoyanov,bg BUL,GK,bg Ludogorets Razgrad,27,1987,5,5,450,5,13,2.6,35,22,62.9,1,1,3,1,20,,,,,,Matches
42,Danijel Subašić,hr CRO,GK,fr Monaco,29,1984,10,10,900,10,5,0.5,36,31,86.1,4,3,3,6,60,,,,,,Matches
43,Wojciech Szczęsny,pl POL,GK,eng Arsenal,24,1990,4,4,330,3.7,6,1.64,21,15,71.4,2,1,1,0,0,,,,,,Matches
44,Marc-André ter Stegen,de GER,GK,es Barcelona,22,1992,13,13,"1,170",13,11,0.85,41,30,73.2,11,0,2,6,46.2,,,,,,Matches
45,Tomáš Vaclík,cz CZE,GK,ch Basel,25,1989,8,8,720,8,13,1.62,49,36,73.5,2,2,4,2,25,,,,,,Matches
46,Roman Weidenfeller,de GER,GK,de Dortmund,33,1980,7,7,630,7,8,1.14,18,10,55.6,4,0,3,3,42.9,,,,,,Matches
47,Timon Wellenreuther,de GER,GK,de Schalke 04,18,1995,2,2,180,2,5,2.5,13,8,61.5,1,0,1,0,0,,,,,,Matches
