Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
173,Ederson,br BRA,GK,pt Benfica,22,1993,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
174,Elías,br BRA,MF,pt Sporting CP,31,1985,2,1,77,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
175,Eliseu,pt POR,DF,pt Benfica,32,1983,4,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Mohamed Elneny,eg EGY,MF,eng Arsenal,24,1992,5,0,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
177,Nico Elvedi,ch SUI,DF,de Gladbach,19,1996,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
178,Mohamed Elyounoussi,no NOR,MF,ch Basel,21,1994,3,2,169,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
179,Matías Emilio Delgado,ar ARG,MF,ch Basel,33,1982,6,5,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
180,Björn Engels,be BEL,DF,be Club Brugge,21,1994,1,1,53,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
181,Roman Eremenko,fi FIN,MF,ru CSKA Moscow,29,1987,2,2,180,2,1,0,1,1,0,0,1,0,0.5,0,0.5,0.5,0.5,Matches
182,Christian Eriksen,dk DEN,MF,eng Tottenham Hotspur,24,1992,6,5,450,5,0,1,1,0,0,0,0,0,0,0.2,0.2,0,0.2,Matches
183,Caner Erkin,tr TUR,"DF,MF",tr Beşiktaş,27,1988,3,3,270,3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
184,Aleksandr Erokhin,ru RUS,MF,ru Rostov,26,1989,6,6,495,5.5,0,1,1,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches
185,Sergio Escudero,es ESP,"DF,MF",es Sevilla,26,1989,8,8,720,8,1,1,2,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,Matches
186,Ricardo Esgaio,pt POR,"DF,FW",pt Sporting CP,23,1993,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Patrice Evra,fr FRA,"DF,MF",it Juventus,35,1981,6,6,500,5.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
188,Saeid Ezatolahi,ir IRN,MF,ru Rostov,19,1996,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
189,Fabinho,br BRA,MF,fr Monaco,22,1993,10,9,846,9.4,1,2,3,1,0,1,4,0,0.11,0.21,0.32,0.11,0.32,Matches
190,Fabricio,es ESP,GK,tr Beşiktaş,28,1987,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
191,Radamel Falcao,co COL,"FW,MF",fr Monaco,30,1986,8,8,666,7.4,5,0,5,5,0,2,3,0,0.68,0,0.68,0.68,0.68,Matches
192,Rasmus Falk,dk DEN,MF,dk FC Copenhagen,24,1992,6,4,319,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
193,Valeriy Fedorchuk,ua UKR,MF,ua Dynamo Kyiv,27,1988,1,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
194,Ljubomir Fejsa,rs SRB,MF,pt Benfica,27,1988,7,7,590,6.6,1,0,1,1,0,0,2,0,0.15,0,0.15,0.15,0.15,Matches
195,Nabil Fekir,fr FRA,"FW,MF",fr Lyon,23,1993,5,3,286,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
196,Felipe,br BRA,DF,pt Porto,27,1989,8,8,720,8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
197,Junior Fernándes,cl CHI,"FW,MF",hr Dinamo Zagreb,28,1988,6,6,508,5.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
198,Mário Fernandes,ru RUS,DF,ru CSKA Moscow,25,1990,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
199,Fernandinho,br BRA,"MF,DF",eng Manchester City,31,1985,7,7,545,6.1,1,0,1,1,0,0,3,2,0.17,0,0.17,0.17,0.17,Matches
200,Fernando,br BRA,MF,eng Manchester City,29,1987,4,1,137,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Jordan Ferri,fr FRA,MF,fr Lyon,24,1992,3,2,206,2.3,1,0,1,1,0,0,1,0,0.44,0,0.44,0.44,0.44,Matches
202,Ivan Fiolić,hr CRO,MF,hr Dinamo Zagreb,20,1996,4,0,187,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
203,James Forrest,sct SCO,"MF,FW",sct Celtic,25,1991,5,4,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
204,Alexander Fransson,se SWE,MF,ch Basel,22,1994,2,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
205,Kerim Frei,tr TUR,MF,tr Beşiktaş,22,1993,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
206,Christian Fuchs,at AUT,DF,eng Leicester City,30,1986,9,9,810,9,0,1,1,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
207,Manolo Gabbiadini,it ITA,FW,it Napoli,24,1991,5,2,177,2,1,0,1,0,1,1,0,0,0.51,0,0.51,0,0,Matches
208,Omar Gaber,eg EGY,DF,ch Basel,24,1992,1,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
209,Gabi,es ESP,MF,es Atlético Madrid,33,1983,11,11,990,11,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
210,Nicolás Gaitán,ar ARG,MF,es Atlético Madrid,28,1988,5,2,190,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
211,Cristian Gamboa,cr CRC,"MF,DF",sct Celtic,26,1989,2,2,175,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
212,Kévin Gameiro,fr FRA,FW,es Atlético Madrid,29,1987,9,4,430,4.8,2,1,3,1,1,1,0,0,0.42,0.21,0.63,0.21,0.42,Matches
213,Ganso,br BRA,MF,es Sevilla,26,1989,1,1,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
214,Jordy Gaspar,ao ANG,MF,fr Lyon,19,1997,1,1,79,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
215,Alexandru Gațcan,md MDA,MF,ru Rostov,32,1984,6,6,540,6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
216,Felipe Gedoz,br BRA,FW,be Club Brugge,23,1993,4,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
217,Valère Germain,fr FRA,FW,fr Monaco,26,1990,12,5,498,5.5,2,1,3,2,0,0,2,0,0.36,0.18,0.54,0.36,0.54,Matches
218,Rachid Ghezzal,dz ALG,"MF,FW",fr Lyon,24,1992,5,2,186,2.1,0,1,1,0,0,0,1,0,0,0.48,0.48,0,0.48,Matches
219,Faouzi Ghoulam,dz ALG,DF,it Napoli,25,1991,8,8,720,8,0,3,3,0,0,0,0,0,0,0.37,0.37,0,0.37,Matches
220,Emanuele Giaccherini,it ITA,"FW,MF",it Napoli,31,1985,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
221,Kieran Gibbs,eng ENG,DF,eng Arsenal,26,1989,6,5,465,5.2,0,1,1,0,0,0,1,0,0,0.19,0.19,0,0.19,Matches
222,Matthias Ginter,de GER,DF,de Dortmund,22,1994,8,6,534,5.9,0,1,1,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
223,Olivier Giroud,fr FRA,FW,eng Arsenal,29,1986,6,3,312,3.5,2,1,3,1,1,1,0,2,0.58,0.29,0.87,0.29,0.58,Matches
224,Kamil Glik,pl POL,DF,fr Monaco,28,1988,10,10,900,10,1,0,1,1,0,0,3,0,0.1,0,0.1,0.1,0.1,Matches
225,Diego Godín,uy URU,DF,es Atlético Madrid,30,1986,11,11,990,11,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Evandro Goebel,br BRA,MF,pt Porto,29,1986,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
227,Amer Gojak,ba BIH,MF,hr Dinamo Zagreb,19,1997,3,2,152,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
228,Aleksandr Golovin,ru RUS,MF,ru CSKA Moscow,20,1996,6,6,496,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
229,André Gomes,pt POR,MF,es Barcelona,23,1993,8,5,464,5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
230,José Gomes,pt POR,"DF,FW",pt Benfica,17,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
231,Maxime Gonalons,fr FRA,MF,fr Lyon,27,1989,6,6,482,5.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
232,Gökhan Gönül,tr TUR,DF,tr Beşiktaş,31,1985,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
233,Derlis González,py PAR,FW,ua Dynamo Kyiv,22,1994,5,4,322,3.6,1,0,1,1,0,0,1,0,0.28,0,0.28,0.28,0.28,Matches
234,Craig Gordon,sct SCO,GK,sct Celtic,33,1982,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
235,Astemir Gordyushenko,ru RUS,MF,ru CSKA Moscow,19,1997,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
236,Mario Götze,de GER,MF,de Dortmund,24,1992,4,4,292,3.2,1,1,2,1,0,0,1,0,0.31,0.31,0.62,0.31,0.62,Matches
237,Vladimir Granat,ru RUS,DF,ru Rostov,29,1987,6,6,540,6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
238,Demarai Gray,jm JAM,MF,eng Leicester City,20,1996,5,1,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
239,Ján Greguš,sk SVK,MF,dk FC Copenhagen,25,1991,4,1,116,1.3,0,0,0,0,0,0,0,2,0,0,0,0,0,Matches
240,Clément Grenier,fr FRA,MF,fr Lyon,25,1991,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
241,Antoine Griezmann,fr FRA,FW,es Atlético Madrid,25,1991,12,12,"1,068",11.9,6,2,8,4,2,3,0,0,0.51,0.17,0.67,0.34,0.51,Matches
242,Leigh Griffiths,sct SCO,FW,sct Celtic,25,1990,3,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
243,Maksim Grigoryev,ru RUS,MF,ru Rostov,26,1990,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
244,Álex Grimaldo,es ESP,DF,pt Benfica,20,1995,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
245,Andrés Guardado,mx MEX,MF,nl PSV,29,1986,4,4,331,3.7,0,0,0,0,0,1,1,0,0,0,0,0,0,Matches
246,Gonçalo Guedes,pt POR,"FW,MF",pt Benfica,19,1996,6,5,422,4.7,2,0,2,2,0,0,0,0,0.43,0,0.43,0.43,0.43,Matches
247,Raphaël Guerreiro,pt POR,"MF,DF",de Dortmund,22,1993,6,6,501,5.6,1,1,2,1,0,0,2,0,0.18,0.18,0.36,0.18,0.36,Matches
248,Guilherme,br BRA,"MF,DF",pl Legia Warsaw,25,1991,6,6,461,5.1,1,1,2,1,0,0,2,0,0.2,0.2,0.39,0.2,0.39,Matches
249,İlkay Gündoğan,de GER,MF,eng Manchester City,25,1990,6,6,520,5.8,2,0,2,2,0,0,1,0,0.35,0,0.35,0.35,0.35,Matches
250,André Hahn,de GER,FW,de Gladbach,25,1990,6,4,341,3.8,1,1,2,1,0,0,0,0,0.26,0.26,0.53,0.26,0.53,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Kasper Hämäläinen,fi FIN,"FW,MF",pl Legia Warsaw,29,1986,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
252,Ben Hamer,eng ENG,GK,eng Leicester City,28,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
253,Marek Hamšík,sk SVK,MF,it Napoli,29,1987,8,8,652,7.2,2,2,4,2,0,0,0,0,0.28,0.28,0.55,0.28,0.55,Matches
254,Denys Harmash,ua UKR,MF,ua Dynamo Kyiv,26,1990,3,3,270,3,1,0,1,1,0,0,2,0,0.33,0,0.33,0.33,0.33,Matches
255,Kai Havertz,de GER,MF,de Leverkusen,17,1999,3,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
256,Thorgan Hazard,be BEL,"FW,MF",de Gladbach,23,1993,4,3,252,2.8,1,1,2,1,0,0,0,0,0.36,0.36,0.71,0.36,0.71,Matches
257,Liam Henderson,sct SCO,MF,sct Celtic,20,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
258,Jorrit Hendrix,nl NED,MF,nl PSV,21,1995,2,2,130,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
259,Benjamin Henrichs,de GER,DF,de Leverkusen,19,1997,7,6,554,6.2,0,1,1,0,0,0,3,0,0,0.16,0.16,0,0.16,Matches
260,Ángelo Henríquez,cl CHI,FW,hr Dinamo Zagreb,22,1994,2,0,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
261,Javier Hernández,mx MEX,FW,de Leverkusen,28,1988,8,8,653,7.3,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14,Matches
262,Lucas Hernández,fr FRA,DF,es Atlético Madrid,20,1996,4,3,305,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
263,Luis Hernández,es ESP,DF,eng Leicester City,27,1989,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
264,Hernanes,br BRA,MF,it Juventus,31,1985,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
265,Héctor Herrera,mx MEX,MF,pt Porto,26,1990,6,4,322,3.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
266,Patrick Herrmann,de GER,MF,de Gladbach,25,1991,3,0,31,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
267,Son Heung-min,kr KOR,"MF,FW",eng Tottenham Hotspur,24,1992,6,6,425,4.7,1,0,1,1,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches
268,Gonzalo Higuaín,ar ARG,FW,it Juventus,28,1987,12,12,"1,039",11.5,5,1,6,4,1,1,1,0,0.43,0.09,0.52,0.35,0.43,Matches
269,Roberto Hilbert,de GER,DF,de Leverkusen,31,1984,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
270,Oleksandr Hladkyy,ua UKR,FW,ua Dynamo Kyiv,28,1987,3,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
271,Adam Hloušek,cz CZE,DF,pl Legia Warsaw,27,1988,4,4,360,4,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
272,Armin Hodžić,ba BIH,FW,hr Dinamo Zagreb,21,1994,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
273,Jonas Hofmann,de GER,MF,de Gladbach,24,1992,2,1,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
274,Rob Holding,eng ENG,DF,eng Arsenal,20,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
275,André Horta,pt POR,MF,pt Benfica,19,1996,2,2,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Artem Hromov,ua UKR,"FW,MF",ua Dynamo Kyiv,26,1990,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
277,Mats Hummels,de GER,DF,de Bayern Munich,27,1988,9,7,681,7.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
278,Oleh Husyev,ua UKR,"DF,MF",ua Dynamo Kyiv,33,1983,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
279,Atiba Hutchinson,ca CAN,MF,tr Beşiktaş,33,1983,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
280,Robert Huth,de GER,DF,eng Leicester City,31,1984,8,8,720,8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
281,Elseid Hysaj,al ALB,DF,it Napoli,22,1994,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
282,Tom Høgli,no NOR,DF,dk FC Copenhagen,32,1984,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
283,Vicente Iborra,es ESP,MF,es Sevilla,28,1988,7,4,419,4.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
284,Sergei Ignashevich,ru RUS,DF,ru CSKA Moscow,37,1979,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
285,Kelechi Iheanacho,ng NGA,FW,eng Manchester City,19,1996,3,1,103,1.1,2,0,2,2,0,0,0,0,1.75,0,1.75,1.75,1.75,Matches
286,Jonathan Ikone,fr FRA,"FW,MF",fr Paris Saint-Germain,18,1998,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
287,Andrés Iniesta,es ESP,MF,es Barcelona,32,1984,8,7,593,6.6,1,3,4,1,0,0,2,0,0.15,0.46,0.61,0.15,0.61,Matches
288,Gökhan Inler,ch SUI,MF,tr Beşiktaş,32,1984,5,2,233,2.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
289,Lorenzo Insigne,it ITA,FW,it Napoli,25,1991,7,6,478,5.3,1,0,1,1,0,1,0,0,0.19,0,0.19,0.19,0.19,Matches
290,Roberto Insigne,it ITA,"FW,MF",it Napoli,22,1994,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
291,Aleksei Ionov,ru RUS,MF,ru CSKA Moscow,27,1989,3,3,214,2.4,0,1,1,0,0,0,0,0,0,0.42,0.42,0,0.42,Matches
292,Isco,es ESP,FW,es Real Madrid,24,1992,6,5,386,4.3,1,0,1,1,0,0,1,0,0.23,0,0.23,0.23,0.23,Matches
293,Nicolas Isimat-Mirin,fr FRA,DF,nl PSV,24,1991,6,5,466,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
294,Alex Iwobi,ng NGA,MF,eng Arsenal,20,1996,7,5,410,4.6,1,0,1,1,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
295,Emilio Izaguirre,hn HON,DF,sct Celtic,30,1986,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
296,José Izquierdo,co COL,FW,be Club Brugge,24,1992,4,3,259,2.9,1,0,1,1,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
297,Marc Janko,at AUT,FW,ch Basel,33,1983,5,2,184,2,0,1,1,0,0,0,0,0,0,0.49,0.49,0,0.49,Matches
298,Vincent Janssen,nl NED,FW,eng Tottenham Hotspur,22,1994,5,2,236,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
299,Tony Jantschke,de GER,DF,de Gladbach,26,1990,3,2,193,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
300,Corentin Jean,fr FRA,FW,fr Monaco,21,1995,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,Tin Jedvaj,hr CRO,DF,de Leverkusen,20,1995,4,3,286,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
302,Jemerson,br BRA,DF,fr Monaco,23,1992,11,11,989,11,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
303,Carl Jenkinson,eng ENG,DF,eng Arsenal,24,1992,2,2,171,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
304,Jesé,es ESP,"FW,MF",fr Paris Saint-Germain,23,1993,4,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
305,Raúl Jiménez,mx MEX,FW,pt Benfica,25,1991,6,1,156,1.7,1,0,1,1,0,0,0,0,0.58,0,0.58,0.58,0.58,Matches
306,Tomasz Jodłowiec,pl POL,MF,pl Legia Warsaw,30,1985,5,3,309,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
307,Fabian Johnson,us USA,MF,de Gladbach,28,1987,5,3,343,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
308,Jonas,br BRA,FW,pt Benfica,32,1984,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
309,Luuk de Jong,nl NED,FW,nl PSV,25,1990,5,5,450,5,1,1,2,1,0,0,1,0,0.2,0.2,0.4,0.2,0.4,Matches
310,Siem de Jong,nl NED,MF,nl PSV,27,1989,3,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
311,Jorginho,it ITA,MF,it Napoli,24,1991,4,4,329,3.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
312,Diogo Jota,pt POR,FW,pt Porto,19,1996,8,4,386,4.3,1,0,1,1,0,0,1,0,0.23,0,0.23,0.23,0.23,Matches
313,Stevan Jovetić,me MNE,FW,es Sevilla,26,1989,2,1,134,1.5,0,1,1,0,0,0,0,0,0,0.67,0.67,0,0.67,Matches
314,Juanfran,es ESP,DF,es Atlético Madrid,31,1985,6,5,429,4.8,0,1,1,0,0,0,1,0,0,0.21,0.21,0,0.21,Matches
315,Mathias Jørgensen,dk DEN,DF,dk FC Copenhagen,26,1990,6,6,540,6,2,0,2,2,0,0,2,0,0.33,0,0.33,0.33,0.33,Matches
316,Shinji Kagawa,jp JPN,MF,de Dortmund,27,1989,5,4,369,4.1,3,2,5,3,0,0,0,0,0.73,0.49,1.22,0.73,1.22,Matches
317,Timofei Kalachev,by BLR,"DF,MF",ru Rostov,35,1981,5,5,420,4.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
318,Aldo Kalulu,cd COD,"FW,MF",fr Lyon,20,1996,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
319,Kevin Kampl,si SVN,MF,de Leverkusen,25,1990,7,7,625,6.9,1,2,3,1,0,0,1,0,0.14,0.29,0.43,0.14,0.43,Matches
320,Harry Kane,eng ENG,FW,eng Tottenham Hotspur,23,1993,3,3,263,2.9,2,0,2,1,1,1,1,0,0.68,0,0.68,0.34,0.34,Matches
321,Moise Kean,it ITA,FW,it Juventus,16,2000,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
322,Aboubakar Keita,ci CIV,MF,dk FC Copenhagen,18,1997,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
323,Claudiu Keșerü,ro ROU,"FW,MF",bg Ludogorets Razgrad,29,1986,5,2,193,2.1,1,0,1,1,0,0,0,0,0.47,0,0.47,0.47,0.47,Matches
324,Yevhen Khacheridi,ua UKR,DF,ua Dynamo Kyiv,29,1987,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
325,Sami Khedira,de GER,MF,it Juventus,29,1987,11,11,895,9.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
326,Stefan Kießling,de GER,FW,de Leverkusen,32,1984,3,2,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
327,Joshua Kimmich,de GER,MF,de Bayern Munich,21,1995,8,3,319,3.5,3,0,3,3,0,0,0,0,0.85,0,0.85,0.85,0.85,Matches
328,Presnel Kimpembe,fr FRA,DF,fr Paris Saint-Germain,20,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
329,Andy King,wls WAL,MF,eng Leicester City,27,1988,4,2,232,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
330,Igor Kireyev,ru RUS,DF,ru Rostov,24,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
331,Hiroshi Kiyotake,jp JPN,"FW,MF",es Sevilla,26,1989,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
332,Bojan Knežević,hr CRO,MF,hr Dinamo Zagreb,19,1997,3,3,267,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
333,Koke,es ESP,MF,es Atlético Madrid,24,1992,12,12,"1,044",11.6,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
334,Aleksandar Kolarov,rs SRB,DF,eng Manchester City,30,1985,6,6,540,6,0,2,2,0,0,0,1,0,0,0.33,0.33,0,0.33,Matches
335,Timothée Kolodziejczak,fr FRA,DF,es Sevilla,24,1991,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
336,Michał Kopczyński,pl POL,MF,pl Legia Warsaw,24,1992,5,3,283,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
337,Julian Korb,de GER,"DF,MF",de Gladbach,24,1992,5,4,397,4.4,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
338,Nikita Korzun,by BLR,MF,ua Dynamo Kyiv,21,1995,4,1,190,2.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
339,Laurent Koscielny,fr FRA,DF,eng Arsenal,30,1985,8,8,643,7.1,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
340,Kalidou Koulibaly,sn SEN,DF,it Napoli,25,1991,8,8,720,8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
341,Mateo Kovačić,hr CRO,MF,es Real Madrid,22,1994,6,2,218,2.4,1,0,1,1,0,0,1,0,0.41,0,0.41,0.41,0.41,Matches
342,Christoph Kramer,de GER,MF,de Gladbach,25,1991,5,4,339,3.8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
343,Matías Kranevitter,ar ARG,MF,es Sevilla,23,1993,4,2,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
344,Toni Kroos,de GER,MF,es Real Madrid,26,1990,12,11,"1,027",11.4,1,2,3,1,0,0,3,0,0.09,0.18,0.26,0.09,0.26,Matches
345,Robbie Kruse,au AUS,"FW,MF",de Leverkusen,27,1988,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
346,Grzegorz Krychowiak,pl POL,MF,fr Paris Saint-Germain,26,1990,6,2,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
