Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Antonio Adán,es ESP,GK,Real Betis,es La Liga,30,1987,30,30,"2,700",30,53,1.77,132,83,62.1,14,4,12,9,30,4,3,1,0,25,Matches
2,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,14,"1,260",14,18,1.29,56,38,69.6,5,3,6,4,28.6,2,1,0,1,0,Matches
3,Adrián,es ESP,GK,West Ham United,eng Premier League,30,1987,19,19,"1,710",19,29,1.53,96,67,70.8,7,6,6,6,31.6,1,1,0,0,0,Matches
4,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37,37,"3,330",37,28,0.76,109,81,77.1,22,8,7,17,45.9,5,3,2,0,40,Matches
5,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,17,16,"1,475",16.4,29,1.77,75,47,62.7,3,6,7,3,18.8,1,1,0,0,0,Matches
6,Ibrahim Amadou,fr FRA,"MF,DF",Lille,fr Ligue 1,24,1993,1,0,17,26.7,2,10.59,,,,0,0,0,0,,1,1,0,0,0,Matches
7,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1,1,90,1,2,2,8,6,75,1,0,0,0,0,0,0,0,0,,Matches
8,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36,36,"3,240",36,71,1.97,185,114,64.9,7,4,25,7,19.4,8,6,2,0,25,Matches
9,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,33,1984,9,9,765,8.5,8,0.94,28,23,78.6,3,2,4,3,33.3,3,2,1,0,33.3,Matches
10,Alphonse Areola,fr FRA,GK,Paris Saint-Germain,fr Ligue 1,24,1993,34,34,"3,060",34,25,0.74,100,77,76,26,6,2,17,50,2,1,1,0,50,Matches
11,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30,30,"2,700",30,43,1.43,136,96,69.1,7,9,14,7,23.3,3,1,2,0,66.7,Matches
12,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23,23,"2,070",23,30,1.3,86,61,68.6,12,3,8,6,26.1,5,3,2,0,40,Matches
13,Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,33,1984,13,12,"1,125",12.5,14,1.12,48,35,72.9,6,3,3,5,41.7,1,1,0,0,0,Matches
14,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34,34,"3,060",34,48,1.41,150,102,70,15,10,9,10,29.4,4,3,1,0,25,Matches
15,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38,38,"3,420",38,61,1.61,171,110,65.5,11,11,16,6,15.8,4,2,1,1,33.3,Matches
